iter	Passed	Remaining
0	0	21
1	0	23
2	0	21
3	0	19
4	1	19
5	1	19
6	1	18
7	1	18
8	1	18
9	2	18
10	2	18
11	2	17
12	2	17
13	2	17
14	3	17
15	3	16
16	3	16
17	3	17
18	3	16
19	4	16
20	4	16
21	4	16
22	4	16
23	5	16
24	5	15
25	5	15
26	5	15
27	6	15
28	6	15
29	6	15
30	6	14
31	6	14
32	7	14
33	7	14
34	7	13
35	7	13
36	7	13
37	8	13
38	8	13
39	8	12
40	8	12
41	8	12
42	9	12
43	9	11
44	9	11
45	9	11
46	9	11
47	10	11
48	10	10
49	10	10
50	10	10
51	10	10
52	11	9
53	11	9
54	11	9
55	11	9
56	11	9
57	12	8
58	12	8
59	12	8
60	12	8
61	13	7
62	13	7
63	13	7
64	13	7
65	13	7
66	14	6
67	14	6
68	14	6
69	14	6
70	15	6
71	15	5
72	15	5
73	15	5
74	16	5
75	16	5
76	16	4
77	16	4
78	17	4
79	17	4
80	17	4
81	18	3
82	18	3
83	18	3
84	18	3
85	18	3
86	19	2
87	19	2
88	19	2
89	19	2
90	20	1
91	20	1
92	20	1
93	21	1
94	21	1
95	21	0
96	21	0
97	22	0
98	22	0
99	22	0
