iter	Passed	Remaining
0	57	57071
1	57	28688
2	57	19217
3	58	14474
4	58	11635
5	58	9736
6	59	8393
7	59	7385
8	59	6594
9	60	5966
10	60	5448
11	60	5020
12	61	4659
13	61	4338
14	61	4066
15	62	3824
16	62	3613
17	62	3426
18	63	3256
19	63	3108
20	63	2971
21	64	2845
22	64	2732
23	64	2628
24	64	2531
25	65	2441
26	65	2357
27	65	2279
28	65	2207
29	66	2143
30	66	2085
31	66	2024
32	67	1970
33	67	1919
34	67	1868
35	68	1821
36	68	1778
37	68	1736
38	68	1698
39	69	1660
40	69	1624
41	69	1590
42	69	1557
43	70	1525
44	70	1494
45	70	1467
46	71	1440
47	71	1415
48	71	1390
49	71	1366
50	72	1344
51	72	1321
52	72	1301
53	73	1281
54	73	1261
55	73	1242
56	73	1223
57	74	1205
58	74	1187
59	74	1172
60	75	1155
61	75	1139
62	75	1124
63	75	1109
64	76	1094
65	76	1081
66	76	1068
67	76	1054
68	77	1042
69	77	1029
70	77	1016
71	78	1005
72	78	993
73	78	982
74	78	971
75	78	960
76	79	949
77	79	939
78	79	928
79	79	919
80	80	910
81	80	900
82	80	890
83	80	882
84	81	873
85	81	865
86	81	857
87	81	849
88	82	841
89	82	833
90	82	825
91	82	818
92	83	811
93	83	804
94	83	797
95	83	790
96	84	783
97	84	777
98	84	770
99	84	764
100	85	758
101	85	752
102	85	746
103	85	740
104	86	734
105	86	729
106	86	724
107	87	718
108	87	713
109	87	709
110	87	704
111	88	699
112	88	694
113	88	689
114	89	685
115	89	681
116	89	676
117	89	671
118	90	667
119	90	662
120	90	657
121	90	653
122	91	648
123	91	644
124	91	641
125	91	637
126	91	632
127	92	628
128	92	624
129	92	620
130	92	616
131	93	613
132	93	609
133	93	605
134	93	602
135	94	599
136	94	595
137	94	592
138	95	592
139	96	589
140	96	586
141	96	583
142	96	579
143	97	577
144	97	573
145	97	570
146	97	567
147	98	564
148	98	561
149	98	558
150	98	555
151	99	552
152	99	549
153	99	547
154	99	544
155	100	542
156	100	539
157	100	536
158	100	533
159	101	531
160	101	527
161	101	525
